"","ID","Name","Age","Boarded","Position","Lifeboat","Body","Sex","Class","Group","Survived","Adult","cClass0","cClass1","cClass2","cClass3","cSex","cSurvived","cAdult"
"1",1,"Mr. George Swane",19,"S","chauffeur","","1","m",2,"1classServ",0,"1",0,0,1,0,0,0,2
"2",2,"Miss Amelia Mary ""Mildred"" Brown",18,"S","cook","11","0","f",2,"1classServ",1,"1",0,0,2,0,1,1,4
"3",3,"Miss Sarah Daniels",33,"S","maid","8","0","f",1,"1classServ",1,"1",0,1,2,0,2,2,6
"4",4,"Miss Alice Catherine Cleaver",22,"S","nurse","11","0","f",1,"1classServ",1,"1",0,2,2,0,3,3,8
"5",5,"Miss Rosalie Bidois",46,"C","maid","4","0","f",1,"1classServ",1,"1",0,3,2,0,4,4,10
"6",6,"Miss Caroline Louise Endres",39,"C","nurse","4","0","f",1,"1classServ",1,"1",0,4,2,0,5,5,12
"7",7,"Miss Emma Sägesser",25,"C","maid","9","0","f",1,"1classServ",1,"1",0,5,2,0,6,6,14
"8",8,"Miss Albina Bazzani",36,"C","maid","8","0","f",1,"1classServ",1,"1",0,6,2,0,7,7,16
"9",9,"Miss Annie Moore Ward",38,"C","maid","3","0","f",1,"1classServ",1,"1",0,7,2,0,8,8,18
"10",10,"Mr. Gustave J. Lesueur",35,"C","valet","3","0","m",1,"1classServ",1,"1",0,8,2,0,8,9,20
"11",11,"Mr. Alexander Cairns",28,"S","valet","","0","m",1,"1classServ",0,"1",0,9,2,0,8,9,22
"12",12,"Mr. Charles Augustus Aldworth",30,"S","chauffeur","","0","m",2,"1classServ",0,"1",0,9,3,0,8,9,24
"13",13,"Miss Auguste Serreplan",30,"S","maid","4","0","f",1,"1classServ",1,"1",0,10,3,0,9,10,26
"14",14,"Miss Ellen ""Nellie"" Barber",26,"S","maid","6","0","f",1,"1classServ",1,"1",0,11,3,0,10,11,28
"15",15,"Miss Berthe Leroy",27,"C","maid","3","0","f",1,"1classServ",1,"1",0,12,3,0,11,12,30
"16",16,"Miss Laura Mabel Francatelli",31,"C","secretary","1","0","f",1,"1classServ",1,"1",0,13,3,0,12,13,32
"17",17,"Miss Elizabeth Weed Shutes",40,"S","governess","3","0","f",1,"1classServ",1,"1",0,14,3,0,13,14,34
"18",18,"Mr. Victor Giglio",24,"C","valet","","0","m",1,"1classServ",0,"1",0,15,3,0,13,14,36
"19",19,"Mr. René Pernot",39,"C","chauffeur","","0","m",2,"1classServ",0,"1",0,15,4,0,13,14,38
"20",20,"Mr. Hammad Hassab",27,"C","dragoman","3","0","m",1,"1classServ",1,"1",0,16,4,0,13,15,40
"21",21,"Mr. Vivian Ponsonby Payne",22,"S","clerk","","0","m",1,"1classServ",0,"1",0,17,4,0,13,15,42
"22",22,"Miss Mary Anne Perreault",33,"S","maid","3","0","f",1,"1classServ",1,"1",0,18,4,0,14,16,44
