Name;Age;Boarded;Position;Lifeboat;Body;Sex;Class;Group
Mr. George Swane[63];19;S;chauffeur;;294MB;m;2;1classServ
"Miss Amelia Mary ""Mildred"" Brown";18;S;cook;11;;f;2;1classServ
Miss Sarah Daniels;33;S;maid;8;;f;1;1classServ
Miss Alice Catherine Cleaver;22;S;nurse;11;;f;1;1classServ
Miss Rosalie Bidois;46;C;maid;4;;f;1;1classServ
Miss Caroline Louise Endres;39;C;nurse;4;;f;1;1classServ
Miss Emma Sägesser;25;C;maid;9;;f;1;1classServ
Miss Albina Bazzani;36;C;maid;8;;f;1;1classServ
Miss Annie Moore Ward;38;C;maid;3;;f;1;1classServ
Mr. Gustave J. Lesueur;35;C;valet;3;;m;1;1classServ
Mr. Alexander Cairns;28;S;valet;;;m;1;1classServ
Mr. Charles Augustus Aldworth[63];30;S;chauffeur;;;m;2;1classServ
Miss Auguste Serreplan;30;S;maid;4;;f;1;1classServ
"Miss Ellen ""Nellie"" Barber";26;S;maid;6;;f;1;1classServ
Miss Berthe Leroy;27;C;maid;3;;f;1;1classServ
Miss Laura Mabel Francatelli;31;C;secretary;1;;f;1;1classServ
Miss Elizabeth Weed Shutes;40;S;governess;3;;f;1;1classServ
Mr. Victor Giglio;24;C;valet;;;m;1;1classServ
Mr. René Pernot[63];39;C;chauffeur;;;m;2;1classServ
Mr. Hammad Hassab;27;C;dragoman;3;;m;1;1classServ
Mr. Vivian Ponsonby Payne;22;S;clerk;;;m;1;1classServ
Miss Mary Anne Perreault;33;S;maid;3;;f;1;1classServ
Mr. John Richard Fry;39;S;valet;;;m;1;1classServ
Mr. William Henry Harrison;45;S;secretary;;110MB;m;1;1classServ
"Miss Roberta Elizabeth Mary ""Cissy"" Maioni[73]";20;S;maid;8;;f;1;1classServ
Mr. Charles Henry Harrington;37;S;valet;;;m;1;1classServ
Doña Fermina Oliva y Ocana;39;C;maid;8;;f;1;1classServ
Miss Emilie Kreuchen;29;S;maid;2;;f;1;1classServ
Miss Victorine Chaudanson;36;C;maid;4;;f;1;1classServ
Miss Grace Scott Bowen;45;C;governess;4;;f;1;1classServ
Miss Helen Alice Wilson;31;C;maid;3;;f;1;1classServ
Miss Elizabeth Margaret Burns;41;C;nurse;3;;f;1;1classServ
Miss Eugenie Elise Lurette;59;C;maid;6;;f;1;1classServ
"Miss Amelie ""Amelia"" Icard";38;S;maid;6;;f;1;1classServ
Mr. John Farthing;57;S;valet;;;m;1;1classServ
Miss Ellen Bird;31;S;maid;8;;f;1;1classServ
Miss Margaret Fleming;42;C;maid;4;;f;1;1classServ
"Miss Amelia Mayo ""Nellie"" Bessette";39;C;maid;8;;f;1;1classServ
Mr. Sante Righini;22;C;manservant;;232MB;m;1;1classServ
Mr. Edwin Herbert Keeping;33;S;valet;;45MB;m;1;1classServ
"Miss Amalie Henriette ""Emily"" Gieger";35;S;maid;4;;f;1;1classServ
Allen, Miss Elizabeth Walton;29;S;1classPass;2;;f;1;1c0ser
Allison, Miss Helen Loraine;2;S;1classPass;;;f;1;1c0ser
Anderson, Mr. Harry;47;S;1classPass;3;;m;1;1c0ser
Andrews, Miss Kornelia Theodosia;62;C;1classPass;10;;f;1;1c0ser
Andrews, Mr. Thomas[64];39;B;1classPass;;;m;1;1c0ser
Appleton, Mrs. Charlotte Lane (née Lamson);53;S;1classPass;2;;f;1;1c0ser
Artagaveytia, Mr. Ramon;71;C;1classPass;;22MB;m;1;1c0ser
Astor, Colonel John Jacob IV;47;C;1classPass;;124MB;m;1;1c0ser
Barkworth, Mr. Algernon Henry Wilson;47;S;1classPass;B;;m;1;1c0ser
Baumann, Mr. John D.;60;C;1classPass;;;m;1;1c0ser
Baxter, Mrs. Hélène (née de Lanaudière-Chaput);50;C;1classPass;6;;f;1;1c0ser
Baxter, Mr. Quigg Edmond;24;C;1classPass;;;m;1;1c0ser
Beattie, Mr. Thomson;36;S;1classPass;A[68];331O;m;1;1c0ser
Beckwith, Mr. Richard Leonard;37;S;1classPass;5;;m;1;1c0ser
Beckwith, Mrs. Sallie (née Monypeny);46;S;1classPass;5;;f;1;1c0ser
Behr, Mr. Karl Howell;26;C;1classPass;5;;m;1;1c0ser
Birnbaum, Mr. Jakob;24;C;1classPass;;148MB;m;1;1c0ser
"Bishop, Mr. Dickinson H. ""Dick""";25;C;1classPass;7;;m;1;1c0ser
Bishop, Mrs. Helen (née Walton)[66][69];19;C;1classPass;7;;f;1;1c0ser
Björnström-Steffansson, Mr. Mauritz Håkan;28;S;1classPass;D;;m;1;1c0ser
Blackwell, Mr. Stephen Weart;45;S;1classPass;;;m;1;1c0ser
Blank, Mr. Henry;39;C;1classPass;7;;m;1;1c0ser
Bonnell, Miss Elizabeth;61;S;1classPass;8;;f;1;1c0ser
Bonnell, Miss Caroline;30;S;1classPass;8;;f;1;1c0ser
Borebank, Mr. John James;42;S;1classPass;;;m;1;1c0ser
Bowerman, Miss Elsie Edith;22;S;1classPass;6;;f;1;1c0ser
Brady, Mr. John Bertram;41;S;1classPass;;;m;1;1c0ser
Brandeis, Mr. Emil;48;C;1classPass;;208MB;m;1;1c0ser
Brereton, Mr. George Andrew (alias George A. Brayton);37;S;1classPass;9;;m;1;1c0ser
Brewe, Dr. Arthur Jackson;45;C;1classPass;;;m;1;1c0ser
Brown, Mrs. Caroline Lane (née Lamson);59;S;1classPass;D;;f;1;1c0ser
Brown, Mrs. Margaret (née Tobin);44;C;1classPass;6;;f;1;1c0ser
Butt, Major Archibald Willingham;46;S;1classPass;;;m;1;1c0ser
Calderhead, Mr. Edward Pennington;42;S;1classPass;5;;m;1;1c0ser
Candee, Mrs. Helen Churchill (née Hungerford);53;C;1classPass;6;;f;1;1c0ser
Carlsson, Mr. Frans Olof;33;S;1classPass;;;m;1;1c0ser
Carrau, Mr. Francisco M.;31;S;1classPass;;;m;1;1c0ser
Carrau, Mr. José Pedro;17;S;1classPass;;;m;1;1c0ser
Carter, Miss Lucile Polk;13;S;1classPass;4;;f;1;1c0ser
Carter, Master William Thornton II;11;S;1classPass;4;;m;1;1c0ser
Case, Mr. Howard Brown;49;S;1classPass;;;m;1;1c0ser
Cassebeer, Mrs. Eleanor Genevieve (née Fosdick);36;C;1classPass;5;;f;1;1c0ser
Cavendish, Mr. Tyrell William;36;S;1classPass;;172MB;m;1;1c0ser
Chaffee, Mr. Herbert Fuller;46;S;1classPass;;;m;1;1c0ser
Chaffee, Mrs. Carrie Constance (née Toogood);47;S;1classPass;4;;f;1;1c0ser
Chambers, Mr. Norman Campbell;27;S;1classPass;5;;m;1;1c0ser
Chambers, Mrs. Bertha (née Griggs);32;S;1classPass;5;;f;1;1c0ser
Cherry, Miss Gladys;30;S;1classPass;8;;f;1;1c0ser
Chevré, Mr. Paul Romaine Marie Léonce;45;C;1classPass;7;;m;1;1c0ser
Chibnall, Mrs. Edith Martha Bowerman (née Barber);48;S;1classPass;6;;f;1;1c0ser
Chisholm, Mr. Roderick Robert Crispin[64];40;B;1classPass;;;m;1;1c0ser
Clark, Mr. Walter Miller;27;C;1classPass;;;m;1;1c0ser
Clark, Mrs. Virginia Estelle (née McDowell);26;C;1classPass;4;;f;1;1c0ser
Clifford, Mr. George Quincy;40;S;1classPass;;;m;1;1c0ser
Colley, Mr. Edward Pomeroy;37;S;1classPass;;;m;1;1c0ser
Compton, Mrs. Mary Eliza (née Ingersoll);64;C;1classPass;14;;f;1;1c0ser
Compton, Miss Sara Rebecca;39;C;1classPass;14;;f;1;1c0ser
Compton, Mr. Alexander Taylor Jr.;37;C;1classPass;;;m;1;1c0ser
Cornell, Mrs. Malvina Helen (née Lamson);55;S;1classPass;2;;f;1;1c0ser
Crafton, Mr. John Bertram;59;S;1classPass;;;m;1;1c0ser
Crosby, Captain Edward;70;S;1classPass;;269MB;m;1;1c0ser
Crosby, Mrs. Catherine Elizabeth (née Halstead);64;S;1classPass;7;;f;1;1c0ser
Crosby, Miss Harriette Rebecca;39;S;1classPass;8;;f;1;1c0ser
Cumings, Mr. John Bradley;39;C;1classPass;;;m;1;1c0ser
Cumings, Mrs. Florence Briggs (née Thayer);35;C;1classPass;4;;f;1;1c0ser
Daly, Mr. Peter Dennis;51;S;1classPass;A;;m;1;1c0ser
Daniel, Mr. Robert Williams;27;S;1classPass;3;;m;1;1c0ser
Davidson, Mr. Thornton;31;S;1classPass;;;m;1;1c0ser
Davidson, Mrs. Orian (née Hays);27;S;1classPass;3;;f;1;1c0ser
Dick, Mr. Albert Adrian;31;S;1classPass;3;;m;1;1c0ser
Dick, Mrs. Vera (née Gillespie);17;S;1classPass;3;;f;1;1c0ser
Dodge, Dr. Washington;52;S;1classPass;13;;m;1;1c0ser
Dodge, Mrs. Ruth (née Vidaver);34;S;1classPass;5;;f;1;1c0ser
Dodge, Master Washington, Jr.;4;S;1classPass;5;;m;1;1c0ser
Douglas, Mr. Walter Donald;50;C;1classPass;;62MB;m;1;1c0ser
Douglas, Mrs. Mary Hélène (née Baxter);27;C;1classPass;6;;f;1;1c0ser
Duff Gordon, Sir Cosmo Edmund;49;C;1classPass;1;;m;1;1c0ser
Dulles, Mr. William Crothers;39;C;1classPass;;133MB;m;1;1c0ser
Eustis, Miss Elizabeth Mussey;54;C;1classPass;4;;f;1;1c0ser
Evans, Miss Edith Corse;36;C;1classPass;;;f;1;1c0ser
Flegenheim, Mrs. Antoinette (née Wendt);48;C;1classPass;7;;f;1;1c0ser
Flynn, Mr. John Irwin;36;S;1classPass;5;;m;1;1c0ser
Foreman, Mr. Benjamin Laventall;30;S;1classPass;;;m;1;1c0ser
Fortune, Mr. Mark;64;S;1classPass;;;m;1;1c0ser
Fortune, Mrs. Mary (née McDougald);60;S;1classPass;10;;f;1;1c0ser
Fortune, Miss Ethel Flora;28;S;1classPass;10;;f;1;1c0ser
Fortune, Miss Alice Elizabeth;24;S;1classPass;10;;f;1;1c0ser
Fortune, Miss Mabel Helen;23;S;1classPass;10;;f;1;1c0ser
Fortune, Mr. Charles Alexander;19;S;1classPass;;;m;1;1c0ser
Franklin, Mr. Thomas Parnham;37;S;1classPass;;;m;1;1c0ser
Frauenthal, Dr. Henry William;49;S;1classPass;5;;m;1;1c0ser
Frauenthal, Mrs. Clara (née Heinsheimer);42;S;1classPass;5;;f;1;1c0ser
Frauenthal, Mr. Isaac Gerald;43;S;1classPass;5;;m;1;1c0ser
Frölicher, Mr. Maximilian Josef;60;C;1classPass;5;;m;1;1c0ser
Frölicher, Mrs. Margaretha Emerentia (née Stehli);48;C;1classPass;5;;f;1;1c0ser
Frölicher-Stehli, Miss Hedwig Margaritha;22;C;1classPass;5;;f;1;1c0ser
Futrelle, Mr. Jacques Heath;37;S;1classPass;;;m;1;1c0ser
Futrelle, Mrs. Lily May (née Peel);35;S;1classPass;D;;f;1;1c0ser
Gee, Mr. Arthur H.;47;S;1classPass;;275MB;m;1;1c0ser
Gibson, Mrs. Pauline Caroline (née Boeson);44;C;1classPass;;;f;1;1c0ser
Gibson, Miss Dorothy Winifred;22;C;1classPass;7;;f;1;1c0ser
Goldenberg, Mr. Samuel L.;47;C;1classPass;5;;m;1;1c0ser
Goldenberg, Mrs. Nella (née Wiggins);40;C;1classPass;;;f;1;1c0ser
Goldschmidt, Mr. George B.;71;C;1classPass;;;m;1;1c0ser
Gracie IV, Colonel Archibald;53;S;1classPass;B;;m;1;1c0ser
Graham, Mr. George Edward;38;S;1classPass;;147MB;m;1;1c0ser
Graham, Mrs. Edith Ware (née Junkins);59;S;1classPass;3;;f;1;1c0ser
Greenfield, Mrs. Blanche (née Strouse);45;C;1classPass;7;;f;1;1c0ser
Greenfield, Mr. William Bertram;23;C;1classPass;7;;m;1;1c0ser
Harder, Mr. George Achilles;25;C;1classPass;5;;m;1;1c0ser
Harder, Mrs. Dorothy (née Annan);21;C;1classPass;5;;f;1;1c0ser
Harper, Mrs. Myna (née Haxtun);49;C;1classPass;3;;f;1;1c0ser
Harris, Mr. Henry Birkhardt;45;S;1classPass;;;m;1;1c0ser
Harris, Mrs. Irene (née Wallach);35;S;1classPass;D;;f;1;1c0ser
Hawksford, Mr. Walter James;45;S;1classPass;3;;m;1;1c0ser
Hays, Miss Margaret Bechstein;24;C;1classPass;7;;f;1;1c0ser
Head, Mr. Christopher;42;S;1classPass;;;m;1;1c0ser
Hilliard, Mr. Herbert Henry;44;S;1classPass;;;m;1;1c0ser
Hipkins, Mr. William Edward;55;S;1classPass;;;m;1;1c0ser
Hippach, Mrs. Ida Sophia (née Fischer);44;C;1classPass;4;;f;1;1c0ser
Hippach, Miss Jean Gertrude;17;C;1classPass;4;;f;1;1c0ser
Hogeboom, Mrs. Anna Louisa (née Andrews);51;C;1classPass;10;;f;1;1c0ser
Holverson, Mr. Alexander Oskar;42;S;1classPass;;38MB;m;1;1c0ser
Holverson, Mrs. Mary Aline (née Towner);35;S;1classPass;8;;f;1;1c0ser
Homer, Mr. Harry (alias E. Haven);40;S;1classPass;15;;m;1;1c0ser
Hoyt, Mr. Frederick Maxfield;35;S;1classPass;D;;m;1;1c0ser
Hoyt, Mrs. Jane Anne (née Forby);31;S;1classPass;D;;f;1;1c0ser
Hoyt, Mr. William Fisher;42;C;1classPass;;;m;1;1c0ser
